Team,Team2,Stadium,Latitude,Longitude,Country
Gornik Zabrze,Górnik Zabrze,Ernest Pohl Stadium,50.296317,18.768564,Poland
Grasshoppers Zurich,Grasshopper Club Zürich,Letzigrund,47.382791,8.503801,Switzerland
Grazer AK,Grazer AK,UPC-Arena,47.046111,15.454444,Austria
Grevenmacher,CS Grevenmacher,Op Flohr Stadion,49.686868,6.448519,Luxembourg
Grevenmacher,CS Grevenmacher,Op Flohr Stadion,49.686872222,6.448505555,Luxembourg
Gwardia Warszawa,Unknown,Unknown,,,Poland
Gyori ETO,Győri ETO FC,ETO Park,47.695769,17.663827,Hungary
HB,Unknown,Unknown,,,Feroe Islands
HB Koge,HB Køge,SEAS-NVE Park,55.413578,12.134153,Denmark
HJK Helsinki,Unknown,Unknown,,,Finland
HNK Gorica,HNK Gorica,Stadion Radnik,45.724,16.0732,Croatia
HNK Gorica,HŠK Concordia,Stadion Kranjčevićeva,45.804722,15.960833,Croatia
HNK Gorica,NK Koprivnica,Gradski stadion,46.166111,16.834722,Croatia
HNK Rijeka,H.N.K. Rijeka,Stadion Kantrida,45.339202,14.380959,Croatia
HNK Rijeka,HNK Šibenik,Stadion Šubićevac,43.743553,15.896058,Croatia
HNK Rijeka,NK Osijek,Stadion Gradski vrt,45.545,18.695833,Croatia
HPS Helsinki,Unknown,Unknown,,,Finland
HSK Zrinjski Mostar,HŠK Zrinjski Mostar,Stadion pod Bijelim Brijegom,43.345556,17.795278,Bosnia and Herzegovina
Hajduk Split,H.N.K. Hajduk Split,Stadion Poljud,43.519444,16.431667,Croatia
Haka Valkeakoski,Unknown,Unknown,,,Finland
Halmstads BK,Halmstads BK,Örjans Vall,56.684166666,12.866388888,Sweden
Halmstads BK,Karlstad BK,Tingvalla IP,59.386694,13.4935,Sweden
Hamburger SV,Hamburger SV,Imtech Arena,53.586944,9.898611,Germany
Hamburger SV,Hamburger SV (women),Q1611199,53.59038889,9.94352778,Germany
Hammarby,Hammarby Fotboll,Tele2 Arena,59.29138889,18.08527778,Sweden
Hammarby,Hammarby IF DFF,Hammarby IP,59.3064,18.085,Sweden
Hammarby,Hammarby Talang FF,Söderstadion,59.295833333,18.081944444,Sweden
Hamrun Spartans,Ħamrun Spartans F.C.,Victor Tedesco Stadium,35.8873,14.4925,Malta
Hansa Rostock,F.C. Hansa Rostock,DKB-Arena,54.08495,12.095188888,Germany
Hapoel Haifa,Hapoel Haifa F.C.,Kiryat Eliezer Stadium,32.827322,34.981284,Israel
Hapoel Ironi Kiryat Shmona,Hapoel Ironi Kiryat Shmona F.C.,Kiryat Shmona Municipal Stadium,33.207894,35.575629,Israel
Hapoel Ironi Kiryat Shmona,Hapoel Kiryat Shmona F.C.,Kiryat Shmona Municipal Stadium,33.207894,35.575629,Israel
Hapoel Tel Aviv,Hapoel Acre A.F.C.,Acre Municipal Stadium,32.907897,35.086067,Israel
