club,clubLabel,venue,venueLabel,coordinates
http://www.wikidata.org/entity/Q343030,Ħamrun Spartans F.C.,http://www.wikidata.org/entity/Q312415,Victor Tedesco Stadium,Point(14.4925 35.8873)
http://www.wikidata.org/entity/Q161554,Chemnitzer FC,http://www.wikidata.org/entity/Q314582,Stadion an der Gellertstraße,Point(12.945669 50.842186)
http://www.wikidata.org/entity/Q157020,Rot-Weiß Oberhausen,http://www.wikidata.org/entity/Q316679,Niederrheinstadion,Point(6.854444 51.493611)
http://www.wikidata.org/entity/Q526949,SpVgg Bayreuth,http://www.wikidata.org/entity/Q317120,Hans-Walter-Wild-Stadion,Point(11.586944 49.945278)
http://www.wikidata.org/entity/Q162317,1. FC Lokomotive Leipzig,http://www.wikidata.org/entity/Q317289,Bruno-Plache-Stadion,Point(12.4192 51.3029)
http://www.wikidata.org/entity/Q170105,Stuttgarter Kickers,http://www.wikidata.org/entity/Q317837,Gazi-Stadion auf der Waldau,Point(9.188417 48.753944)
http://www.wikidata.org/entity/Q18708,Fulham F.C.,http://www.wikidata.org/entity/Q318043,Craven Cottage,Point(-0.221666666 51.475)
http://www.wikidata.org/entity/Q200321,SC Heerenveen,http://www.wikidata.org/entity/Q318125,Abe Lenstra Stadion,Point(5.936111 52.958611)
http://www.wikidata.org/entity/Q161074,BSG Chemie Leipzig,http://www.wikidata.org/entity/Q318721,Alfred-Kunze-Sportpark,Point(12.307778 51.358056)
http://www.wikidata.org/entity/Q180305,A.S. Monaco F.C.,http://www.wikidata.org/entity/Q318851,Stade Louis II,Point(7.415556 43.727778)
http://www.wikidata.org/entity/Q157352,FSV Frankfurt,http://www.wikidata.org/entity/Q319774,Frankfurter Volksbank Stadion,Point(8.723333 50.128056)
http://www.wikidata.org/entity/Q459090,Club América,http://www.wikidata.org/entity/Q320454,Azteca Stadium,Point(-99.150556 19.302778)
http://www.wikidata.org/entity/Q1023236,CD Zacatepec,http://www.wikidata.org/entity/Q320454,Azteca Stadium,Point(-99.150556 19.302778)
http://www.wikidata.org/entity/Q3963857,Q3963857,http://www.wikidata.org/entity/Q320454,Azteca Stadium,Point(-99.150556 19.302778)
http://www.wikidata.org/entity/Q4816974,Atlético Español,http://www.wikidata.org/entity/Q320454,Azteca Stadium,Point(-99.150556 19.302778)
http://www.wikidata.org/entity/Q701290,SSV Ulm 1846,http://www.wikidata.org/entity/Q322858,Donaustadion,Point(10.009575 48.404589)
http://www.wikidata.org/entity/Q285131,VfL Wolfsburg,http://www.wikidata.org/entity/Q323718,VfL-Stadion am Elsterweg,Point(10.799417 52.425306)
http://www.wikidata.org/entity/Q48862,Aldershot Town F.C.,http://www.wikidata.org/entity/Q325809,Recreation Ground,Point(-0.754789 51.248386)
http://www.wikidata.org/entity/Q2300305,Aldershot F.C.,http://www.wikidata.org/entity/Q325809,Recreation Ground,Point(-0.754789 51.248386)
http://www.wikidata.org/entity/Q655059,Schwarz-Weiß Essen,http://www.wikidata.org/entity/Q327459,Uhlenkrugstadion,Point(7.01825 51.4266)
http://www.wikidata.org/entity/Q1417183,Racing Club de Montevideo,http://www.wikidata.org/entity/Q328080,Estadio Osvaldo Roberto,Point(-56.216569 -34.836633)
http://www.wikidata.org/entity/Q1053786,Central Español,http://www.wikidata.org/entity/Q328097,Parque Palermo,Point(-56.153556 -34.897864)
http://www.wikidata.org/entity/Q420106,C.A. Progreso,http://www.wikidata.org/entity/Q328184,Parque Abraham Paladino,Point(-56.234444 -34.873333)
http://www.wikidata.org/entity/Q978110,Centro Atlético Fénix,http://www.wikidata.org/entity/Q328189,Estadio Parque Capurro,Point(-56.21235833 -34.87338056)
http://www.wikidata.org/entity/Q1055895,Cerro Largo FC,http://www.wikidata.org/entity/Q328542,Estadio Arquitecto Antonio Eleuterio Ubilla,Point(-54.169328 -32.359708)
http://www.wikidata.org/entity/Q5707032,Q5707032,http://www.wikidata.org/entity/Q328542,Estadio Arquitecto Antonio Eleuterio Ubilla,Point(-54.169328 -32.359708)
http://www.wikidata.org/entity/Q217644,Juventud de Las Piedras,http://www.wikidata.org/entity/Q328551,Estadio Parque Artigas Las Piedras,Point(-56.2025 -34.724444444)
http://www.wikidata.org/entity/Q6641,F.C. Bari 1908,http://www.wikidata.org/entity/Q328698,Stadio San Nicola,Point(16.840072 41.084736)
http://www.wikidata.org/entity/Q134241,Feyenoord,http://www.wikidata.org/entity/Q330298,De Kuip,Point(4.523252777 51.893894444)
http://www.wikidata.org/entity/Q18747,West Ham United F.C.,http://www.wikidata.org/entity/Q330731,Boleyn Ground,Point(0.039444444 51.531944444)
http://www.wikidata.org/entity/Q1432459,Marist Fire FC,http://www.wikidata.org/entity/Q333549,Lawson Tama Stadium,Point(159.971389 -9.436667)
http://www.wikidata.org/entity/Q1779577,Koloale F.C.,http://www.wikidata.org/entity/Q333549,Lawson Tama Stadium,Point(159.971389 -9.436667)
http://www.wikidata.org/entity/Q1785112,Kossa F.C.,http://www.wikidata.org/entity/Q333549,Lawson Tama Stadium,Point(159.971389 -9.436667)
http://www.wikidata.org/entity/Q2299270,Solomon Warriors F.C.,http://www.wikidata.org/entity/Q333549,Lawson Tama Stadium,Point(159.971389 -9.436667)
http://www.wikidata.org/entity/Q2792030,Honiara Rangers F.C.,http://www.wikidata.org/entity/Q333549,Lawson Tama Stadium,Point(159.971389 -9.436667)
http://www.wikidata.org/entity/Q3843708,Makuru FC,http://www.wikidata.org/entity/Q333549,Lawson Tama Stadium,Point(159.971389 -9.436667)
http://www.wikidata.org/entity/Q6166987,Western United F.C.,http://www.wikidata.org/entity/Q333549,Lawson Tama Stadium,Point(159.971389 -9.436667)
http://www.wikidata.org/entity/Q412502,Ajax Cape Town F.C.,http://www.wikidata.org/entity/Q173559,Cape Town Stadium,Point(18.408611 -33.905556)
http://www.wikidata.org/entity/Q451635,AmaZulu F.C.,http://www.wikidata.org/entity/Q175289,Moses Mabhida Stadium,Point(31.0303 -29.829)
http://www.wikidata.org/entity/Q18711,Aston Villa F.C.,http://www.wikidata.org/entity/Q175339,Villa Park,Point(-1.884722222 52.509166666)
http://www.wikidata.org/entity/Q4811032,Aston Villa Under-21s and Academy,http://www.wikidata.org/entity/Q175339,Villa Park,Point(-1.884722222 52.509166666)
http://www.wikidata.org/entity/Q482406,FC Seoul,http://www.wikidata.org/entity/Q175477,Seoul World Cup Stadium,Point(126.897361111 37.568222222)
http://www.wikidata.org/entity/Q1353661,IFK Malmö,http://www.wikidata.org/entity/Q175960,Malmö stadion,Point(12.989166666 55.586111111)
http://www.wikidata.org/entity/Q552949,SC Union 06 Berlin,http://www.wikidata.org/entity/Q176074,Poststadion,Point(13.359444 52.53)
http://www.wikidata.org/entity/Q692704,Berliner AK 07,http://www.wikidata.org/entity/Q176074,Poststadion,Point(13.359444 52.53)
http://www.wikidata.org/entity/Q274465,E.C. Vitória,http://www.wikidata.org/entity/Q176157,Barradão,Point(-38.427 -12.919)
http://www.wikidata.org/entity/Q249533,Glentoran F.C.,http://www.wikidata.org/entity/Q176401,The Oval,Point(-5.891319 54.602964)
http://www.wikidata.org/entity/Q328313,Houston Dynamo,http://www.wikidata.org/entity/Q176460,BBVA Compass Stadium,Point(-95.3524 29.7522)
http://www.wikidata.org/entity/Q19651,Yeovil Town F.C.,http://www.wikidata.org/entity/Q177206,Huish Park,Point(-2.674881 50.950278)
http://www.wikidata.org/entity/Q1146848,Cwmbrân Town A.F.C.,http://www.wikidata.org/entity/Q177261,Cwmbran Stadium,Point(-3.02 51.6428)
http://www.wikidata.org/entity/Q289029,Unione Sportiva Ancona 1905,http://www.wikidata.org/entity/Q178107,Stadio del Conero,Point(13.526144 43.56425383)
http://www.wikidata.org/entity/Q391984,Millonarios F.C.,http://www.wikidata.org/entity/Q179027,Estadio El Campín,Point(-74.0775 4.645888888)
http://www.wikidata.org/entity/Q1424072,Independiente Santa Fe,http://www.wikidata.org/entity/Q179027,Estadio El Campín,Point(-74.0775 4.645888888)
http://www.wikidata.org/entity/Q849949,C.F. Atlante,http://www.wikidata.org/entity/Q179972,Estadio Andrés Quintana Roo,Point(-86.83842222 21.15095)
http://www.wikidata.org/entity/Q172969,FC Shakhtar Donetsk,http://www.wikidata.org/entity/Q180479,Donbass Arena,Point(37.809722 48.020833)
http://www.wikidata.org/entity/Q784965,Mamelodi Sundowns F.C.,http://www.wikidata.org/entity/Q181398,Loftus Versfeld Stadium,Point(28.223014 -25.753189)
http://www.wikidata.org/entity/Q734785,Lechia Gdańsk,http://www.wikidata.org/entity/Q182385,Stadion Energa Gdańsk,Point(18.640278 54.39)
http://www.wikidata.org/entity/Q301223,Nui,http://www.wikidata.org/entity/Q182636,Tuvalu Sports Ground,Point(179.198611 -8.523889)
